,model,family,size,tokens,flops,ifeval,bbh,math,mmlu-pro,gpqa,musr
7001,qwen1.5-7b-chat-sa-v0.1,qwen1.5-chat-sa-v0.1,7.0,4.0,168.0,0.4267742922113326,0.20302342129934098,0.030211480362537766,0.2214280437352246,0.08277404921700222,0.030598958333333325
7073,suzume-llama-3-8b-multilingual,suzume-llama-3-multilingual,8.0,15.0,720.0,0.6678003253589365,0.2889509203723778,0.08836858006042295,0.26483082151300236,0.044742729306487705,0.07844270833333336
7074,suzume-llama-3-8b-multilingual-orpo-borda-full,suzume-llama-3-multilingual-orpo-borda-full,8.0,15.0,720.0,0.5817464327983085,0.2507547488849692,0.0324773413897281,0.2566119976359338,0.01230425055928408,0.040401041666666686
7075,suzume-llama-3-8b-multilingual-orpo-borda-half,suzume-llama-3-multilingual-orpo-borda-half,8.0,15.0,720.0,0.624910792253443,0.2634859792572119,0.08459214501510574,0.29041075650118203,0.0,0.02114583333333334
7076,suzume-llama-3-8b-multilingual-orpo-borda-top25,suzume-llama-3-multilingual-orpo-borda-top25,8.0,15.0,720.0,0.6636535503574958,0.2766528501530011,0.09516616314199394,0.2982601950354609,0.030201342281879207,0.04808854166666668
7077,suzume-llama-3-8b-multilingual-orpo-borda-top75,suzume-llama-3-multilingual-orpo-borda-top75,8.0,15.0,720.0,0.6687245397766813,0.2805625593898892,0.07552870090634442,0.30767952127659565,0.030201342281879207,0.05310937500000001
7244,samantha-qwen-2-7b,samantha-qwen-2,7.0,7.0,294.0,0.43771526217103957,0.3141189390746123,0.20619335347432025,0.3087876773049646,0.030201342281879207,0.20160156250000003
7532,orpollama-3-8b,orpollama-3,8.0,15.0,720.0,0.36527524745453177,0.2195410762879941,0.04531722054380666,0.18947621158392433,0.039149888143176735,0.04008854166666667
7807,n3n_delirium-v1_1030_0227,n3n_delirium-v1_1030_0227,9.0,13.0,702.0,0.8022890375315274,0.4077504007448568,0.09365558912386707,0.34997414302600466,0.11633109619686799,0.09859895833333335
7809,n3n_gemma-2-9b-it_20241029_1532,n3n_gemma-2-it_20241029_1532,9.0,13.0,702.0,0.6751940407008958,0.40986667733249704,0.20468277945619334,0.3469267139479906,0.12080536912751676,0.163859375
7810,n3n_gemma-2-9b-it_20241110_2026,n3n_gemma-2-it_20241110_2026,9.0,13.0,702.0,0.6282829558903709,0.40944105549057747,0.13821752265861026,0.3355681146572104,0.11521252796420578,0.09779427083333336
7944,openchat-3.6-8b-20240522,openchat-3.6-20240522,8.0,15.0,720.0,0.5343355629729118,0.3323293691836929,0.08308157099697885,0.24765440307328607,0.09060402684563762,0.08181770833333334
8161,gemma-2-9b-it-dpo,gemma-2-it-dpo,9.0,13.0,702.0,0.27687203287277756,0.4159365445538448,0.0,0.3026004728132387,0.11409395973154364,0.056539062500000015
8162,gemma-2-9b-it-simpo,gemma-2-it-simpo,9.0,13.0,702.0,0.3206857803960159,0.40093429916371653,0.0,0.3305814125295508,0.11409395973154364,0.10340364583333338
8212,llama-3-6.3b-v0.1,llama-3-v0.1,8.0,15.0,720.0,0.10438968603305895,0.18679996399605858,0.01812688821752266,0.2044363179669031,0.044742729306487705,0.06154166666666666
8257,openlongcot-base-gemma2-2b,openlongcot-base-gemma2,2.0,8.0,96.0,0.1965141380426158,0.03546298466806123,0.0,0.03507313829787232,0.016778523489932917,0.02114583333333334
8288,phi-1_5-instruct-v0.1,phi-1_5-instruct-v0.1,1.3,0.15,1.1700000000000002,0.24022815019703278,0.04820243721122045,0.0,0.06240765366430259,0.01342281879194629,0.03402864583333334
8289,phi-2-instruct-apo,phi-2-instruct-apo,2.7,1.4,22.680000000000003,0.31459194936102874,0.21672437586715604,0.0,0.12834293735224583,0.026845637583892648,0.03610677083333335
8290,phi-2-instruct-v0.1,phi-2-instruct-v0.1,2.7,1.4,22.680000000000003,0.3681476260765879,0.2635880186790661,0.0,0.1385010342789598,0.03243847874720355,0.050442708333333336
8461,quantized_open_llama_3b_v2,quantized_open_llama_v2,3.0,1.0,18.0,0.18722212618075595,0.02805733273363854,0.0,0.010601359338061455,0.03579418344519018,0.04687499999999999
8470,delirium-v1,delirium-v1,9.0,13.0,702.0,0.7207564816908026,0.4231507908993327,0.12915407854984895,0.3544067671394799,0.12416107382550338,0.15230989583333338
8524,gemma-2-9b-moth,gemma-2-moth,9.0,13.0,702.0,0.20588150551647405,0.03212217230049623,0.0,0.015588061465721037,0.01342281879194629,0.00618489583333333
8581,nepali-llm,nepali-llm,9.0,13.0,702.0,0.04166611258128433,0.1312524427731519,0.0067975830815709985,0.11827718676122931,0.015659955257270708,0.09991406250000003
8750,braincog-8b-0.1-instruct,braincog-0.1-instruct,8.0,15.0,720.0,0.4253004250943053,0.24283467839476658,0.07628398791540786,0.20646793735224583,0.06823266219239373,0.06332552083333334
8752,llamantino-3-anita-8b-inst-dpo-ita,llamantino-3-anita-inst-dpo-ita,8.0,15.0,720.0,0.4815046299374548,0.27990827697552745,0.04380664652567976,0.3026004728132387,0.06487695749440718,0.13242447916666664
8759,lambda-gemma-2-9b-dpo,lambda-gemma-2-dpo,9.0,13.0,702.0,0.18292463995531855,0.3573966330720827,0.0,0.31165041371158386,0.0805369127516779,0.08569791666666665
8989,configurable-hermes-2-pro-llama-3-8b,configurable-hermes-2-pro-llama-3,8.0,15.0,720.0,0.5762510139762497,0.30509624748954783,0.06344410876132932,0.2330636820330969,0.06263982102908276,0.10062239583333334
9175,gemma-2-9b-it-wpo-hb,gemma-2-it-wpo-hb,9.0,13.0,702.0,0.5437029304467701,0.3666169583479774,0.0,0.26224512411347517,0.1331096196868009,0.039656250000000004
9307,gemma-2-2b-orpo-jpn-it-abliterated-18,gemma-2-orpo-jpn-it-abliterated-18,2.0,8.0,96.0,0.4630945890237902,0.1630199203988385,0.0037764350453172208,0.14939790189125293,0.05145413870246088,0.047283854166666674
9308,gemma-2-2b-orpo-jpn-it-abliterated-18-merge,gemma-2-orpo-jpn-it-abliterated-18-merge,2.0,8.0,96.0,0.5218209905273564,0.1734833699622109,0.008308157099697885,0.16232638888888887,0.044742729306487705,0.03357812500000001
9309,gemma-2-2b-jpn-it-abliterated-17,gemma-2-jpn-it-abliterated-17,2.0,8.0,96.0,0.5081572449988253,0.1623474918432881,0.0,0.1616799645390071,0.029082774049216997,0.03891145833333333
9310,gemma-2-2b-jpn-it-abliterated-17-18-24,gemma-2-jpn-it-abliterated-17-18-24,2.0,8.0,96.0,0.5054843371144119,0.13114728218255617,0.0,0.14247192671394798,0.04138702460850116,0.020695312500000004
9311,gemma-2-2b-jpn-it-abliterated-17-orpo,gemma-2-jpn-it-abliterated-17-orpo,2.0,8.0,96.0,0.47478468242042227,0.14389413087436517,0.04229607250755287,0.13231382978723402,0.03243847874720355,0.04528385416666667
9313,gemma-2-2b-jpn-it-abliterated-18,gemma-2-jpn-it-abliterated-18,2.0,8.0,96.0,0.5175246124726836,0.17143414938177204,0.0,0.16722074468085105,0.031319910514541416,0.042695312500000006
9314,gemma-2-2b-jpn-it-abliterated-18-orpo,gemma-2-jpn-it-abliterated-18-orpo,2.0,8.0,96.0,0.47423502972113984,0.16538078577820994,0.035498489425981876,0.13166740543735225,0.015659955257270708,0.07416666666666667
9315,gemma-2-2b-jpn-it-abliterated-24,gemma-2-jpn-it-abliterated-24,2.0,8.0,96.0,0.49786566310722213,0.16772590130572934,0.0,0.1637115839243499,0.03691275167785232,0.07002864583333333
