,model,family,size,tokens,flops,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k,ifeval,bbh,math,mmlu-pro,gpqa,musr
63,meta-llama-3-70b-instruct,meta-llama-3-instruct,70.0,15.0,6300.0,0.7142000000000001,0.8569,0.8006,0.6181,0.8287,0.8543999999999999,0.81,0.65,0.23,0.52,0.29,0.42
64,meta-llama-3-8b,meta-llama-3,8.0,15.0,720.0,0.6024,0.8201553475403306,0.6649495492503578,0.4395226511050948,0.771112865035517,0.4533737680060652,0.15,0.46,0.03,0.32,0.31,0.36
65,meta-llama-3-8b-instruct,meta-llama-3-instruct,8.0,15.0,720.0,0.6075,0.7855,0.6707,0.5165,0.7451000000000001,0.6869,0.74,0.5,0.09,0.37,0.26,0.36
76,olmo-1b,olmo,1.0,3.0,18.0,0.3456,0.636,0.2631,0.3292,0.6109,0.019,0.22,0.31,0.01,0.12,0.26,0.41
77,olmo-7b,olmo,7.0,2.5,105.0,0.4564999999999999,0.7731,0.2813,0.3593,0.6938,0.0379,0.27,0.33,0.01,0.12,0.27,0.35
83,openhermes-13b,openhermes,13.0,2.0,156.0,0.5981000000000001,0.8223999999999999,0.5635,0.4600999999999999,0.7545000000000001,0.1159999999999999,0.27,0.42,0.01,0.24,0.27,0.4
84,openhermes-7b,openhermes,7.0,2.0,84.0,0.5614,0.7831999999999999,0.4861999999999999,0.45,0.7451000000000001,0.05,0.18,0.36,0.01,0.19,0.27,0.43
85,opt-1.3b,opt,1.3,0.18,1.404,0.295221843003413,0.545309699263095,0.2496304582561669,0.387106757904831,0.5974743488555643,0.001516300227445,0.24,0.31,0.01,0.11,0.24,0.34
89,opt-30b,opt,30.0,0.18,32.4,0.4325938566552901,0.7406891057558256,0.2665873003529109,0.351638262847476,0.7063930544593529,0.0219863532979529,0.25,0.31,0.01,0.12,0.27,0.36
93,orca-2-13b,orca-2,13.0,2.0,156.0,0.6092,0.7985,0.603,0.5642,0.7656000000000001,0.3782999999999999,0.31,0.49,0.01,0.27,0.28,0.51
94,orca-2-7b,orca-2,7.0,2.0,84.0,0.541,0.7619,0.5637,0.5245000000000001,0.7348,0.1471,0.22,0.45,0.01,0.23,0.26,0.5
95,orca_mini_v3_13b,orca_mini_v3_,13.0,2.0,156.0,0.6314,0.8234999999999999,0.5652,0.5181,0.7648,0.1311999999999999,0.29,0.47,0.02,0.23,0.27,0.46
97,orca_mini_v3_7b,orca_mini_v3_,7.0,2.0,84.0,0.5690999999999999,0.7964,0.5236999999999999,0.5051,0.7426999999999999,0.0713,0.28,0.41,0.0,0.21,0.25,0.5
103,pythia-12b,pythia,12.0,0.25,18.0,0.3959,0.6881999999999999,0.2676,0.3185,0.6417,0.0174,0.25,0.32,0.01,0.11,0.25,0.36
104,pythia-160m,pythia,0.16,0.25,0.24,0.2278,0.3034,0.2495,0.4426,0.5154,0.0023,0.18,0.3,0.0,0.11,0.26,0.42
106,pythia-2.8b,pythia,2.8,0.25,4.199999999999999,0.3626279863481229,0.6065524795857399,0.2678463743419206,0.3555978234501585,0.6022099447513812,0.0083396512509476,0.22,0.32,0.01,0.11,0.25,0.35
107,pythia-410m,pythia,0.41,0.25,0.615,0.2619,0.4085,0.2725,0.4122,0.5312,0.0068,0.22,0.3,0.0,0.11,0.26,0.36
108,pythia-6.9b,pythia,6.9,0.25,10.35,0.4129692832764505,0.6704839673371839,0.2648094407333687,0.3519458488266109,0.6408839779005525,0.0166793025018953,0.23,0.32,0.01,0.11,0.25,0.36
113,qwen1.5-0.5b,qwen1.5,0.5,2.4,7.199999999999999,0.3148464163822526,0.4905397331208923,0.3935334081217579,0.3829926844374736,0.5722178374112076,0.1630022744503411,0.17,0.32,0.0,0.13,0.25,0.36
114,qwen1.5-0.5b-chat,qwen1.5-chat,0.5,2.4,7.199999999999999,0.3055,0.4407,0.3382,0.4295,0.5462,0.0766,0.18,0.32,0.0,0.12,0.27,0.38
115,qwen1.5-1.8b,qwen1.5,1.8,2.4,25.92,0.378839590443686,0.6142202748456482,0.4670838530175782,0.3942781424608406,0.6029992107340174,0.335860500379075,0.22,0.35,0.02,0.19,0.31,0.36
116,qwen1.5-1.8b-chat,qwen1.5-chat,1.8,2.4,25.92,0.3874,0.6002000000000001,0.4587,0.4061999999999999,0.5967,0.1903,0.2,0.33,0.0,0.18,0.3,0.43
119,qwen1.5-14b,qwen1.5,14.0,4.0,336.0,0.5656996587030717,0.810794662417845,0.6936026470831474,0.5206092394796343,0.7348066298342542,0.6762699014404853,0.29,0.51,0.16,0.36,0.29,0.42
120,qwen1.5-14b-chat,qwen1.5-chat,14.0,4.0,336.0,0.5870000000000001,0.8227,0.6857,0.6036,0.7309,0.3063,0.48,0.52,0.0,0.36,0.27,0.44
121,qwen1.5-32b,qwen1.5,32.0,4.0,768.0,0.6356655290102389,0.8500298745269866,0.7429961283965313,0.5739444338569583,0.8145224940805051,0.6110689916603488,0.33,0.57,0.27,0.45,0.33,0.43
122,qwen1.5-32b-chat,qwen1.5-chat,32.0,4.0,768.0,0.6604000000000001,0.8549,0.7498999999999999,0.6695,0.7719,0.0705,0.55,0.61,0.07,0.45,0.31,0.42
123,qwen1.5-4b,qwen1.5,4.0,2.4,57.6,0.4846416382252559,0.7157936666002789,0.5652351963993337,0.4727318979180884,0.6621941594317285,0.5223654283548143,0.24,0.41,0.02,0.25,0.28,0.36
