,model,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k
164,AbacusResearch/RasGulla1-7b,0.697098976109215,0.8740290778729337,0.6493942885750557,0.633141301315501,0.8089976322020521,0.7172100075815011
165,AbacusResearch/haLLAwa2,0.6331058020477816,0.8450507866958773,0.6351873912833255,0.4737549402479496,0.7584846093133386,0.5208491281273692
166,AbacusResearch/haLLAwa3,0.6783276450511946,0.8702449711212907,0.6423175624003477,0.6371489024278089,0.8050513022888715,0.6474601971190296
167,AbacusResearch/haLLawa4-7b,0.7150170648464163,0.8835889265086636,0.6448562156120239,0.7427459589364643,0.823993685872139,0.7050796057619408
168,AbacusResearch/jaLLAbi2-7b,0.7167235494880546,0.8828918542123083,0.6491805767208354,0.701571568751529,0.8334648776637726,0.7194844579226687
169,Abe13/juniper-certificate-Llama-2-7b-chat-hf,0.2909556313993174,0.27633937462656843,0.24024385650777447,0.48234181171735035,0.48303078137332284,0.0
170,Abhaykoul/EMO-1B,0.39590443686006827,0.6224855606452898,0.4666384826588414,0.3836679169053378,0.6053670086819258,0.2721758908263836
171,Abhaykoul/HelpingAI-3B,0.5059726962457338,0.7663811989643498,0.46821503290722005,0.556234093472517,0.6779794790844513,0.36087945413191813
172,Abhaykoul/HelpingAI-Lite-4x1b,0.3583617747440273,0.6100378410675165,0.2524429368018076,0.3739297200017788,0.6077348066298343,0.018953752843062926
173,Abhaykoul/MediKAI,0.46501706484641636,0.6055566620195181,0.49302199016078146,0.48774494292294535,0.6172059984214681,0.01592115238817286
174,Abhaykoul/OEvortex,0.35409556313993173,0.5493925512846046,0.2722037996456383,0.4012030550848651,0.5887924230465666,0.001516300227445034
175,Abhaykoul/Qwen1.5-0.5B-vortex,0.3174061433447099,0.47779326827325236,0.38439950098988374,0.389164820195813,0.5651144435674822,0.155420773313116
176,Abhaykoul/Qwen1.5-0.5B-vortex-v2,0.30631399317406144,0.4553873730332603,0.3629343541994699,0.4429283527301926,0.5603788476716653,0.05913570887035633
177,Abhaykoul/qwen1.5-vortex,0.3174061433447099,0.47779326827325236,0.38439950098988374,0.389164820195813,0.5651144435674822,0.155420773313116
178,Abhaykoul/vortex2,0.5068259385665529,0.7671778530173272,0.47105784925360866,0.5582565984245604,0.6764009471191792,0.36467020470053074
179,Abhinav7/NeuralPipe-7B-slerp,0.674061433447099,0.8611830312686716,0.6407155917109015,0.5982418830210784,0.797947908445146,0.6929492039423806
180,AdaptLLM/finance-chat,0.537542662116041,0.765982871937861,0.501607801091531,0.4454115477276852,0.7569060773480661,0.18802122820318423
181,AdaptLLM/law-chat,0.5341296928327645,0.7616012746464846,0.5024459113618337,0.4353135795126459,0.7545382794001578,0.18498862774829417
182,AdaptLLM/medicine-chat,0.537542662116041,0.7611033658633738,0.4998214972699653,0.4346323175004823,0.7569060773480661,0.18953752843062927
183,Aeala/Alpaca-elina-65b,0.652730375426621,0.8574985062736507,0.6341530490006783,0.4731719190866776,0.813733228097869,0.29037149355572406
184,Aeala/Enterredaas-33b,0.6092150170648464,0.8417645887273452,0.5830104225398959,0.4901769838816749,0.7876874506708761,0.16224412433661864
185,Aeala/GPT4-x-AlpacaDente-30b,0.621160409556314,0.8278231428002389,0.5619117280569581,0.5267972818884434,0.7868981846882399,0.3009855951478393
186,Aeala/GPT4-x-AlpacaDente2-30b,0.60580204778157,0.8180641306512648,0.5662621076994767,0.48376070919498354,0.7813733228097868,0.2676269901440485
187,Aeala/GPT4-x-Alpasta-13b,0.5853242320819113,0.7992431786496713,0.46027746989515916,0.5306202218829393,0.739542225730071,0.08794541319181198
188,Aeala/VicUnlocked-alpaca-30b,0.6186006825938567,0.8378809002190799,0.5763878124482882,0.5103239807678763,0.7821625887924231,0.1463229719484458
189,AetherResearch/Cerebrum-1.0-7b,0.6160409556313993,0.8456482772356104,0.6356476914690885,0.464852982885189,0.7940015785319653,0.40181956027293403
190,AetherResearch/Cerebrum-1.0-8x7b,0.6808873720136519,0.8730332603067119,0.7244519128896258,0.5063101016622468,0.823993685872139,0.6194086429112965
191,AiMavenAi/AiMaven-Prometheus,0.7397610921501706,0.8882692690699066,0.6517035794575812,0.7222211820734462,0.8516179952644041,0.6906747536012131
192,AiMavenAi/AiMaven-SmartDawg-7b,0.6791808873720135,0.8716391157140012,0.6268834414549517,0.5886125043102783,0.7900552486187845,0.5724033358605004
193,AiMavenAi/MavenWest,0.7158703071672357,0.8843855805616411,0.6463460015345972,0.6529155692943942,0.8326756116811366,0.6884003032600455
194,AiMavenAi/Prometheus-1.3,0.7261092150170648,0.890161322445728,0.6425911050882166,0.792871875693302,0.8516179952644041,0.645185746777862
195,AkiGogikar/KnowledgeNinja-LiteLlama-460Mx6MoE-1T,0.25170648464163825,0.3844851623182633,0.2616138345194607,0.41574737741115103,0.500394632991318,0.0
196,AlanRobotics/nanit,0.5895904436860068,0.7467635929097789,0.5766867847802449,0.4788851360084191,0.7616416732438832,0.5504169825625473
197,AlanRobotics/nanit_v1.1,0.5895904436860068,0.7467635929097789,0.5766867847802449,0.4788851360084191,0.7616416732438832,0.5504169825625473
198,AlanRobotics/nanit_v2,0.5802047781569966,0.6532563234415456,0.556843973073994,0.48075691018151706,0.7632202052091555,0.31387414708112205
