,Model,Family,Instruct,date,#Params (B),Pretraining Data Size (T),FLOPs (1E21),IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,bbh_boolean_expressions,bbh_causal_judgement,bbh_date_understanding,bbh_disambiguation_qa,bbh_formal_fallacies,bbh_geometric_shapes,bbh_hyperbaton,bbh_logical_deduction_five_objects,bbh_logical_deduction_seven_objects,bbh_logical_deduction_three_objects,bbh_movie_recommendation,bbh_navigate,bbh_object_counting,bbh_penguins_in_a_table,bbh_reasoning_about_colored_objects,bbh_ruin_names,bbh_salient_translation_error_detection,bbh_snarks,bbh_sports_understanding,bbh_temporal_sequences,bbh_tracking_shuffled_objects_five_objects,bbh_tracking_shuffled_objects_seven_objects,bbh_tracking_shuffled_objects_three_objects,bbh_web_of_lies,gpqa_diamond,gpqa_extended,gpqa_main,math_algebra_hard,math_counting_and_prob_hard,math_geometry_hard,math_intermediate_algebra_hard,math_num_theory_hard,math_prealgebra_hard,math_precalculus_hard,musr_murder_mysteries,musr_object_placements,musr_team_allocation,XWinograd,Arena-Elo,MTBench,hendrycksTest-abstract_algebra,hendrycksTest-anatomy,hendrycksTest-astronomy,hendrycksTest-business_ethics,hendrycksTest-clinical_knowledge,hendrycksTest-college_biology,hendrycksTest-college_chemistry,hendrycksTest-college_computer_science,hendrycksTest-college_mathematics,hendrycksTest-college_medicine,hendrycksTest-college_physics,hendrycksTest-computer_security,hendrycksTest-conceptual_physics,hendrycksTest-econometrics,hendrycksTest-electrical_engineering,hendrycksTest-elementary_mathematics,hendrycksTest-formal_logic,hendrycksTest-global_facts,hendrycksTest-high_school_biology,hendrycksTest-high_school_chemistry,hendrycksTest-high_school_computer_science,hendrycksTest-high_school_european_history,hendrycksTest-high_school_geography,hendrycksTest-high_school_government_and_politics,hendrycksTest-high_school_macroeconomics,hendrycksTest-high_school_mathematics,hendrycksTest-high_school_microeconomics,hendrycksTest-high_school_physics,hendrycksTest-high_school_psychology,hendrycksTest-high_school_statistics,hendrycksTest-high_school_us_history,hendrycksTest-high_school_world_history,hendrycksTest-human_aging,hendrycksTest-human_sexuality,hendrycksTest-international_law,hendrycksTest-jurisprudence,hendrycksTest-logical_fallacies,hendrycksTest-machine_learning,hendrycksTest-management,hendrycksTest-marketing,hendrycksTest-medical_genetics,hendrycksTest-miscellaneous,hendrycksTest-moral_disputes,hendrycksTest-moral_scenarios,hendrycksTest-nutrition,hendrycksTest-philosophy,hendrycksTest-prehistory,hendrycksTest-professional_accounting,hendrycksTest-professional_law,hendrycksTest-professional_medicine,hendrycksTest-professional_psychology,hendrycksTest-public_relations,hendrycksTest-security_studies,hendrycksTest-sociology,hendrycksTest-us_foreign_policy,hendrycksTest-virology,hendrycksTest-world_religions,MMLU,ARC,HellaSwag,Winogrande,TruthfulQA,GSM8K,HumanEval,Family2
52,llama-2-13b-chat,llama-2,True,2023-10-14,13.0,2.0,156.0,0.4,0.33,0.01,0.23,0.4,0.19,0.616,0.5240641711229946,0.208,0.3,0.464,0.284,0.524,0.232,0.184,0.368,0.324,0.42,0.072,0.2191780821917808,0.172,0.32,0.148,0.5393258426966292,0.672,0.26,0.2,0.152,0.332,0.488,0.202020202020202,0.2472527472527472,0.2254464285714285,0.006514657980456,0.008130081300813,0.0,0.0,0.0064935064935064,0.0207253886010362,0.0,0.504,0.2421875,0.456,,0.5973947873962169,0.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5411813543925467,0.590443686006826,0.8193586934873531,0.745067087608524,0.4411794590119937,0.1523881728582259,0.1829268292682926,llama-2-chat
53,llama-2-70b,llama-2,False,2023-08-21,70.0,2.0,840.0,0.24,0.55,0.02,0.3,0.41,0.37,0.82,0.6256684491978609,0.6,0.568,0.524,0.48,0.764,0.34,0.38,0.636,0.92,0.496,0.42,0.3835616438356164,0.464,0.828,0.512,0.8089887640449438,0.824,0.632,0.156,0.148,0.316,0.488,0.2828282828282828,0.3095238095238095,0.3035714285714285,0.0390879478827361,0.016260162601626,0.0227272727272727,0.0,0.0259740259740259,0.0569948186528497,0.0074074074074074,0.52,0.2890625,0.428,0.8244532275730627,,,0.33,0.6296296296296297,0.8092105263157895,0.72,0.7169811320754716,0.8472222222222222,0.51,0.61,0.37,0.653179190751445,0.3725490196078431,0.77,0.6638297872340425,0.4385964912280701,0.6551724137931034,0.4338624338624338,0.4761904761904761,0.46,0.8193548387096774,0.5123152709359606,0.78,0.8242424242424242,0.8787878787878788,0.9430051813471504,0.7410256410256411,0.3518518518518518,0.7647058823529411,0.4304635761589404,0.8752293577981651,0.6342592592592593,0.9117647058823528,0.8776371308016878,0.8026905829596412,0.8778625954198473,0.8760330578512396,0.8333333333333334,0.803680981595092,0.5357142857142857,0.8349514563106796,0.905982905982906,0.74,0.8620689655172413,0.7774566473988439,0.4581005586592179,0.7810457516339869,0.7845659163987139,0.8333333333333334,0.5638297872340425,0.529986962190352,0.75,0.7549019607843137,0.6909090909090909,0.7918367346938775,0.900497512437811,0.92,0.5301204819277109,0.8538011695906432,0.6983208921288624,0.6732081911262798,0.8733320055765784,0.8374112075769534,0.4492349372188735,0.5405610310841547,0.298780487804878,llama-2
54,llama-2-70b-chat,llama-2,True,2023-10-17,70.0,2.0,840.0,0.5,0.3,0.01,0.26,0.37,0.24,0.724,0.5401069518716578,0.212,0.304,0.472,0.004,0.552,0.2,0.152,0.336,0.168,0.42,0.076,0.1506849315068493,0.096,0.188,0.14,0.4831460674157303,0.628,0.276,0.208,0.152,0.332,0.488,0.2474747474747475,0.2692307692307692,0.265625,0.009771986970684,0.0,0.0,0.0071428571428571,0.0129870129870129,0.0103626943005181,0.0222222222222222,0.516,0.25,0.34,,0.706849517866438,0.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6345350976408146,0.6459044368600683,0.8587930691097391,0.8050513022888713,0.5280473232260097,0.266868840030326,0.3170731707317073,llama-2-chat
55,llama-2-7b,llama-2,False,2023-08-19,7.0,2.0,84.0,0.25,0.35,0.01,0.27,0.37,0.19,0.7,0.5454545454545454,0.36,0.528,0.48,0.108,0.484,0.24,0.148,0.396,0.464,0.432,0.288,0.2671232876712329,0.216,0.264,0.224,0.4662921348314606,0.628,0.072,0.176,0.12,0.296,0.488,0.2525252525252525,0.271062271062271,0.2678571428571428,0.013029315960912,0.024390243902439,0.0151515151515151,0.0,0.0194805194805194,0.0207253886010362,0.0,0.516,0.2421875,0.352,0.7548812733233227,,,0.1,0.4,0.5,0.5,0.5,0.2,0.1,0.5,0.3,0.5,0.0,0.7,0.5,0.2,0.5,0.3,0.4,0.5,0.7,0.3,0.5,0.5,0.5,0.7,0.6,0.4,0.6,0.5,0.9,0.2,0.8,0.6,0.4,0.5,0.6,0.4,0.4,0.1,0.5,0.7,0.7,0.3,0.4,0.1,0.6,0.5,0.4,0.4,0.4,0.3,0.4,0.5,0.6,0.8,0.7,0.3,0.7,0.4379609636092418,0.5307167235494881,0.7774347739494125,0.7403314917127072,0.3898020280158031,0.1448066717210007,0.1280487804878048,llama-2
56,llama-2-7b-chat,llama-2,True,2023-10-15,7.0,2.0,84.0,0.4,0.31,0.01,0.25,0.37,0.17,0.54,0.5187165775401069,0.252,0.324,0.48,0.04,0.472,0.152,0.152,0.36,0.384,0.42,0.072,0.1712328767123287,0.18,0.224,0.132,0.550561797752809,0.572,0.284,0.196,0.172,0.332,0.488,0.1969696969696969,0.2564102564102564,0.2767857142857143,0.003257328990228,0.008130081300813,0.0075757575757575,0.0035714285714285,0.0129870129870129,0.0103626943005181,0.0074074074074074,0.5,0.22265625,0.384,,0.549140618077077,0.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4705941276505219,0.5290102389078498,0.7855008962358097,0.7174427782162589,0.4557037019510113,0.0735405610310841,0.1219512195121951,llama-2-chat
57,llama-3-sauerkrautlm-70b-instruct,meta-llama-3,True,2024-07-21,70.0,15.0,6300.0,0.8,0.67,0.22,0.33,0.43,0.54,0.916,0.7058823529411765,0.656,0.72,0.74,0.428,0.6,0.584,0.56,0.88,0.764,0.656,0.416,0.6986301369863014,0.856,0.872,0.656,0.7752808988764045,0.912,0.984,0.344,0.332,0.408,0.528,0.3383838383838384,0.3424908424908425,0.3058035714285714,0.3485342019543974,0.1951219512195122,0.106060606060606,0.0821428571428571,0.2077922077922078,0.4041450777202072,0.0666666666666666,0.536,0.2578125,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,llama-3-sauerkrautlm-instruct
58,llama-3-sauerkrautlm-8b-instruct,meta-llama-3,True,2024-04-23,8.0,15.0,720.0,0.74,0.49,0.06,0.31,0.42,0.39,0.776,0.5775401069518716,0.488,0.608,0.58,0.304,0.568,0.344,0.336,0.516,0.536,0.644,0.344,0.5,0.576,0.716,0.488,0.550561797752809,0.76,0.46,0.184,0.2,0.36,0.448,0.2878787878787879,0.315018315018315,0.3102678571428571,0.1107491856677524,0.048780487804878,0.0075757575757575,0.0142857142857142,0.0259740259740259,0.1243523316062176,0.0222222222222222,0.52,0.3203125,0.432,,,,0.38,0.6296296296296297,0.7171052631578947,0.72,0.7433962264150943,0.8263888888888888,0.52,0.58,0.38,0.6763005780346821,0.4901960784313725,0.79,0.6085106382978723,0.6052631578947368,0.6551724137931034,0.4629629629629629,0.5158730158730159,0.43,0.7806451612903226,0.5812807881773399,0.75,0.7515151515151515,0.8585858585858586,0.911917098445596,0.6564102564102564,0.4074074074074074,0.7773109243697479,0.4039735099337748,0.8458715596330275,0.5879629629629629,0.8676470588235294,0.8523206751054853,0.7399103139013453,0.7709923664122137,0.8099173553719008,0.7870370370370371,0.7791411042944786,0.4821428571428571,0.7961165048543689,0.9145299145299144,0.85,0.7969348659003831,0.7543352601156069,0.4402234636871508,0.7516339869281046,0.7395498392282959,0.7469135802469136,0.524822695035461,0.4967405475880052,0.7022058823529411,0.7271241830065359,0.7090909090909091,0.7346938775510204,0.8507462686567164,0.87,0.4819277108433735,0.7777777777777778,0.6807,0.7372,0.8941,0.8003,0.6625,0.6496999999999999,,llama-3-sauerkrautlm-instruct
59,llama-30b,llama,False,,30.0,1.4,251.99999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7711479041610005,,,0.35,0.5111111111111111,0.6118421052631579,0.54,0.5773584905660377,0.5833333333333334,0.43,0.46,0.38,0.5433526011560693,0.2647058823529412,0.66,0.5148936170212766,0.3596491228070175,0.5241379310344828,0.3703703703703703,0.3492063492063492,0.39,0.6838709677419355,0.4088669950738916,0.6,0.7333333333333333,0.7121212121212122,0.8341968911917098,0.5666666666666667,0.2703703703703703,0.5756302521008403,0.3443708609271523,0.763302752293578,0.4861111111111111,0.7843137254901961,0.7974683544303798,0.6771300448430493,0.6564885496183206,0.7520661157024794,0.7129629629629629,0.6809815950920245,0.3928571428571428,0.7766990291262136,0.8461538461538461,0.66,0.7816091954022989,0.6705202312138728,0.3899441340782122,0.6274509803921569,0.6655948553054662,0.6697530864197531,0.4397163120567376,0.4647979139504563,0.5588235294117647,0.6421568627450981,0.7,0.6653061224489796,0.7910447761194029,0.83,0.4939759036144578,0.8011695906432749,0.5844661283793138,0.6143344709897611,0.8473411670981876,0.8003157063930545,0.4227387599763514,0.1485974222896133,0.2073170731707317,llama
60,llama-65b,llama,False,2023-07-21,65.0,1.4,546.0,0.25,0.47,0.02,0.28,0.36,0.31,0.784,0.5935828877005348,0.56,0.58,0.468,0.408,0.524,0.336,0.28,0.48,0.828,0.536,0.424,0.3150684931506849,0.372,0.528,0.38,0.7134831460674157,0.8,0.252,0.116,0.156,0.364,0.488,0.2777777777777778,0.282051282051282,0.2678571428571428,0.0325732899022801,0.024390243902439,0.0606060606060606,0.0107142857142857,0.0,0.0259067357512953,0.0,0.5,0.234375,0.344,0.7768348071630101,,,0.3,0.5777777777777777,0.7171052631578947,0.6,0.660377358490566,0.7013888888888888,0.49,0.46,0.36,0.5549132947976878,0.3823529411764705,0.79,0.5829787234042553,0.3771929824561403,0.5586206896551724,0.4047619047619047,0.4365079365079365,0.38,0.7483870967741936,0.4137931034482758,0.68,0.7878787878787878,0.803030303030303,0.8808290155440415,0.6615384615384615,0.3407407407407407,0.680672268907563,0.3774834437086092,0.8293577981651377,0.6064814814814815,0.8382352941176471,0.8396624472573839,0.6636771300448431,0.7709923664122137,0.8181818181818182,0.7592592592592593,0.7791411042944786,0.4910714285714285,0.8252427184466019,0.8760683760683761,0.68,0.8160919540229885,0.7369942196531792,0.4804469273743016,0.6830065359477124,0.7266881028938906,0.7469135802469136,0.4929078014184397,0.4954367666232073,0.6213235294117647,0.6650326797385621,0.7454545454545455,0.7142857142857143,0.8009950248756219,0.88,0.5421686746987951,0.8070175438596491,0.6393064176395022,0.6348122866894198,0.8608842859988051,0.8255722178374112,0.4342876070583593,0.3722517058377558,0.2317073170731707,llama
61,llama-7b,llama,False,2023-08-19,7.0,1.0,42.0,0.25,0.33,0.01,0.25,0.34,0.13,0.684,0.5187165775401069,0.276,0.28,0.512,0.068,0.516,0.224,0.128,0.344,0.38,0.448,0.24,0.2602739726027397,0.16,0.18,0.228,0.550561797752809,0.548,0.088,0.18,0.156,0.348,0.548,0.2373737373737373,0.2728937728937728,0.234375,0.006514657980456,0.008130081300813,0.0075757575757575,0.0035714285714285,0.0064935064935064,0.0155440414507772,0.0,0.488,0.2421875,0.276,0.693204494643244,,,0.26,0.3851851851851852,0.3421052631578947,0.41,0.3547169811320754,0.375,0.3,0.31,0.33,0.3352601156069364,0.2352941176470588,0.45,0.3702127659574468,0.2631578947368421,0.2275862068965517,0.2619047619047619,0.2619047619047619,0.31,0.332258064516129,0.3004926108374384,0.33,0.4363636363636363,0.3333333333333333,0.4455958549222797,0.3435897435897436,0.2592592592592592,0.3361344537815126,0.2649006622516556,0.473394495412844,0.3055555555555556,0.3578431372549019,0.430379746835443,0.3946188340807174,0.3511450381679389,0.5206611570247934,0.4166666666666667,0.4294478527607362,0.2767857142857143,0.3300970873786408,0.4786324786324786,0.37,0.425287356321839,0.3959537572254335,0.2424581005586592,0.3888888888888889,0.3954983922829582,0.345679012345679,0.2695035460992908,0.2959582790091264,0.4411764705882353,0.3578431372549019,0.4181818181818181,0.3428571428571428,0.4676616915422885,0.43,0.3433734939759036,0.4853801169590643,0.3569330638795117,0.5093856655290102,0.7781318462457678,0.7142857142857143,0.3432793294414406,0.0803639120545868,0.1280487804878048,llama
62,meta-llama-3-70b,meta-llama-3,False,2024-04-21,70.0,15.0,6300.0,0.16,0.65,0.17,0.4,0.45,0.47,0.888,0.5935828877005348,0.652,0.664,0.604,0.524,0.732,0.536,0.404,0.844,0.924,0.684,0.708,0.589041095890411,0.66,0.888,0.66,0.7359550561797753,0.908,0.952,0.272,0.216,0.356,0.512,0.4141414141414141,0.3974358974358974,0.390625,0.2899022801302932,0.1382113821138211,0.0454545454545454,0.0357142857142857,0.1688311688311688,0.3160621761658031,0.074074074074074,0.572,0.35546875,0.428,0.8447060940421043,,,0.48,0.7851851851851852,0.9210526315789472,0.82,0.8566037735849057,0.9375,0.62,0.73,0.52,0.7976878612716763,0.4901960784313725,0.83,0.825531914893617,0.7280701754385965,0.7517241379310344,0.626984126984127,0.6507936507936508,0.48,0.9032258064516128,0.7093596059113301,0.86,0.8666666666666667,0.9393939393939394,0.9792746113989638,0.8256410256410256,0.4925925925925926,0.8865546218487395,0.5695364238410596,0.9412844036697248,0.7314814814814815,0.9558823529411764,0.940928270042194,0.8251121076233184,0.8854961832061069,0.8925619834710744,0.8611111111111112,0.8773006134969326,0.625,0.912621359223301,0.9401709401709402,0.91,0.9195402298850576,0.846820809248555,0.6145251396648045,0.869281045751634,0.864951768488746,0.9166666666666666,0.6382978723404256,0.6166883963494133,0.8676470588235294,0.8562091503267973,0.7545454545454545,0.8489795918367347,0.9353233830845772,0.94,0.5843373493975904,0.9064327485380116,0.792329338617972,0.6877,0.8798048197570205,0.8531965272296764,0.4556236820150089,0.7687642153146323,0.524390243902439,meta-llama-3
63,meta-llama-3-70b-instruct,meta-llama-3,True,2024-04-21,70.0,15.0,6300.0,0.81,0.65,0.23,0.29,0.42,0.52,0.908,0.7272727272727273,0.636,0.712,0.732,0.428,0.568,0.568,0.556,0.86,0.752,0.592,0.444,0.6712328767123288,0.84,0.884,0.664,0.7415730337078652,0.912,0.984,0.304,0.288,0.404,0.536,0.2777777777777778,0.3003663003663003,0.2745535714285714,0.3843648208469055,0.1951219512195122,0.0833333333333333,0.0607142857142857,0.2532467532467532,0.4559585492227979,0.0888888888888888,0.54,0.24609375,0.46,,,,0.51,0.7703703703703704,0.9342105263157896,0.86,0.8679245283018868,0.9097222222222222,0.56,0.69,0.58,0.815028901734104,0.5980392156862745,0.82,0.8170212765957446,0.7280701754385965,0.7793103448275862,0.708994708994709,0.626984126984127,0.59,0.896774193548387,0.6896551724137931,0.92,0.8666666666666667,0.9292929292929292,0.9844559585492229,0.8384615384615385,0.5444444444444444,0.8865546218487395,0.6225165562913907,0.9412844036697248,0.7361111111111112,0.9215686274509804,0.9282700421940928,0.820627802690583,0.8702290076335878,0.9256198347107438,0.8796296296296297,0.8588957055214724,0.7053571428571429,0.8932038834951457,0.935897435897436,0.92,0.9182630906768838,0.8439306358381503,0.7083798882681565,0.8758169934640523,0.8135048231511254,0.9012345679012346,0.6382978723404256,0.6414602346805737,0.8897058823529411,0.8529411764705882,0.7454545454545455,0.8163265306122449,0.9203980099502488,0.92,0.5662650602409639,0.9005847953216374,0.8006,0.7142000000000001,0.8569,0.8287,0.6181,0.8543999999999999,0.774,meta-llama-3-instruct
64,meta-llama-3-8b,meta-llama-3,False,2024-04-19,8.0,15.0,720.0,0.15,0.46,0.03,0.31,0.36,0.32,0.78,0.5614973262032086,0.54,0.444,0.584,0.34,0.692,0.292,0.328,0.46,0.812,0.532,0.456,0.4452054794520548,0.384,0.508,0.348,0.5842696629213483,0.744,0.08,0.136,0.172,0.324,0.488,0.2575757575757575,0.293040293040293,0.3415178571428571,0.0521172638436482,0.016260162601626,0.0227272727272727,0.0,0.0064935064935064,0.0880829015544041,0.0296296296296296,0.516,0.32421875,0.244,0.8011516647345902,,,0.35,0.6962962962962963,0.6776315789473685,0.63,0.7547169811320755,0.7708333333333334,0.47,0.49,0.33,0.6358381502890174,0.4901960784313725,0.8,0.5914893617021276,0.4912280701754385,0.6482758620689655,0.4338624338624338,0.4761904761904761,0.37,0.7677419354838709,0.5467980295566502,0.68,0.7696969696969697,0.803030303030303,0.8911917098445595,0.6512820512820513,0.4,0.7352941176470589,0.4437086092715231,0.8477064220183487,0.5787037037037037,0.8578431372549019,0.8227848101265823,0.7174887892376681,0.7709923664122137,0.8512396694214877,0.75,0.7361963190184049,0.5357142857142857,0.8737864077669902,0.8974358974358975,0.79,0.8301404853128991,0.7398843930635838,0.4134078212290503,0.7647058823529411,0.7427652733118971,0.7253086419753086,0.4929078014184397,0.4674054758800521,0.7205882352941176,0.7238562091503268,0.7181818181818181,0.7510204081632653,0.8557213930348259,0.86,0.5602409638554217,0.8304093567251462,0.6649495492503578,0.6024,0.8201553475403306,0.771112865035517,0.4395226511050948,0.4533737680060652,0.335,meta-llama-3
65,meta-llama-3-8b-instruct,meta-llama-3,True,2024-04-19,8.0,15.0,720.0,0.74,0.5,0.09,0.26,0.36,0.37,0.748,0.6310160427807486,0.46,0.636,0.552,0.336,0.54,0.404,0.44,0.588,0.58,0.532,0.472,0.5,0.592,0.596,0.504,0.5056179775280899,0.732,0.204,0.208,0.176,0.328,0.52,0.2676767676767677,0.2948717948717949,0.3013392857142857,0.1465798045602606,0.040650406504065,0.0227272727272727,0.0142857142857142,0.0584415584415584,0.1968911917098445,0.0518518518518518,0.532,0.265625,0.344,,,,0.32,0.6518518518518519,0.7039473684210527,0.69,0.7471698113207547,0.7986111111111112,0.47,0.59,0.39,0.6358381502890174,0.5,0.77,0.6042553191489362,0.6052631578947368,0.6275862068965518,0.4444444444444444,0.4841269841269841,0.4,0.7838709677419354,0.5073891625615764,0.75,0.7454545454545455,0.8434343434343434,0.911917098445596,0.658974358974359,0.4,0.7647058823529411,0.4437086092715231,0.8366972477064221,0.5370370370370371,0.8578431372549019,0.8438818565400844,0.7219730941704036,0.7786259541984732,0.8181818181818182,0.7777777777777778,0.7668711656441718,0.5446428571428571,0.7864077669902912,0.905982905982906,0.8,0.7982120051085568,0.7485549132947977,0.4368715083798882,0.7450980392156863,0.7138263665594855,0.7407407407407407,0.5283687943262412,0.4784876140808344,0.7169117647058824,0.7058823529411765,0.6454545454545455,0.7387755102040816,0.8656716417910447,0.86,0.5120481927710844,0.7777777777777778,0.6707,0.6075,0.7855,0.7451000000000001,0.5165,0.6869,0.616,meta-llama-3-instruct
66,mixtral-8x22b-instruct-v0.1,mixtral-8x-v0.1,True,2024-04-18,22.0,,,0.72,0.61,0.19,0.37,0.43,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.7481481481481481,0.8618421052631579,0.77,0.8226415094339623,0.8958333333333334,0.56,0.7,0.49,0.7630057803468208,0.5784313725490197,0.81,0.7914893617021277,0.631578947368421,0.7586206896551724,0.6243386243386243,0.5952380952380952,0.54,0.9,0.6945812807881774,0.86,0.8545454545454545,0.8939393939393939,0.9689119170984456,0.8128205128205128,0.5074074074074074,0.8781512605042017,0.5033112582781457,0.926605504587156,0.6944444444444444,0.8970588235294118,0.9156118143459916,0.8026905829596412,0.8854961832061069,0.9008264462809916,0.8611111111111112,0.8711656441717791,0.6160714285714286,0.8737864077669902,0.9273504273504274,0.84,0.8991060025542784,0.846820809248555,0.6603351955307263,0.8790849673202614,0.8263665594855305,0.8703703703703703,0.6631205673758865,0.6029986962190352,0.8860294117647058,0.8398692810457516,0.7727272727272727,0.8448979591836735,0.9154228855721394,0.96,0.5903614457831325,0.9064327485380116,0.7777,0.727,0.8908,0.8515999999999999,0.6814,0.8203,0.762,mixtral-8x-instruct-v0.1
67,mixtral-8x22b-v0.1,mixtral-8x-v0.1,False,2024-04-18,22.0,,,0.26,0.62,0.17,0.38,0.4,0.46,0.84,0.6096256684491979,0.732,0.716,0.616,0.444,0.724,0.54,0.508,0.788,0.936,0.576,0.5,0.6301369863013698,0.636,0.876,0.592,0.6797752808988764,0.904,0.896,0.196,0.172,0.376,0.488,0.398989898989899,0.3919413919413919,0.3459821428571428,0.254071661237785,0.1219512195121951,0.0833333333333333,0.0571428571428571,0.1883116883116883,0.3523316062176165,0.0444444444444444,0.5,0.37109375,0.34,,,,0.55,0.762962962962963,0.868421052631579,0.73,0.8264150943396227,0.8958333333333334,0.6,0.71,0.48,0.791907514450867,0.5294117647058824,0.83,0.8170212765957446,0.6754385964912281,0.7586206896551724,0.6164021164021164,0.6031746031746031,0.53,0.9032258064516128,0.6699507389162561,0.87,0.8545454545454545,0.914141414141414,0.9689119170984456,0.8,0.4555555555555555,0.8697478991596639,0.5364238410596026,0.9229357798165138,0.6805555555555556,0.8921568627450981,0.9071729957805909,0.7982062780269058,0.900763358778626,0.9008264462809916,0.8425925925925926,0.8834355828220859,0.625,0.8737864077669902,0.9188034188034188,0.85,0.9016602809706258,0.8323699421965318,0.6558659217877095,0.869281045751634,0.8520900321543409,0.8703703703703703,0.6134751773049646,0.6127770534550195,0.875,0.8316993464052288,0.7727272727272727,0.8734693877551021,0.9253731343283582,0.94,0.5903614457831325,0.912280701754386,0.7779,0.7065,0.8874,0.85,0.5095000000000001,0.7369,,mixtral-8x-v0.1
68,mixtral-8x7b-instruct-v0.1,mixtral-8x-v0.1,True,2024-01-05,7.0,,,0.54,0.53,0.09,0.31,0.43,0.36,0.856,0.6470588235294118,0.54,0.584,0.592,0.46,0.756,0.428,0.344,0.54,0.704,0.656,0.364,0.5273972602739726,0.58,0.616,0.448,0.6573033707865169,0.792,0.5,0.148,0.18,0.296,0.488,0.2929292929292929,0.3058608058608059,0.3147321428571428,0.1237785016286645,0.056910569105691,0.0378787878787878,0.0321428571428571,0.0909090909090909,0.2176165803108808,0.037037037037037,0.54,0.2890625,0.448,,,,0.42,0.6666666666666666,0.7894736842105263,0.73,0.7773584905660378,0.8263888888888888,0.5,0.66,0.46,0.7572254335260116,0.4313725490196078,0.81,0.6680851063829787,0.6140350877192983,0.6482758620689655,0.4788359788359788,0.5238095238095238,0.42,0.8516129032258064,0.6206896551724138,0.78,0.8,0.8686868686868687,0.9585492227979274,0.6974358974358974,0.3888888888888889,0.8025210084033614,0.4701986754966887,0.8844036697247707,0.5972222222222222,0.8529411764705882,0.8481012658227848,0.757847533632287,0.8091603053435115,0.8760330578512396,0.8425925925925926,0.8159509202453987,0.5714285714285714,0.8446601941747572,0.9230769230769232,0.77,0.879948914431673,0.7803468208092486,0.4603351955307262,0.8202614379084967,0.797427652733119,0.8333333333333334,0.5531914893617021,0.5443285528031291,0.7941176470588235,0.7647058823529411,0.7090909090909091,0.7714285714285715,0.8905472636815921,0.9,0.5060240963855421,0.8771929824561403,0.7140000000000001,0.7014,0.8755,0.8106,0.6498,0.6111,0.451,mixtral-8x-instruct-v0.1
69,mixtral-8x7b-v0.1,mixtral-8x-v0.1,False,2023-12-11,7.0,,,0.23,0.51,0.09,0.32,0.44,0.39,0.856,0.6096256684491979,0.664,0.624,0.512,0.316,0.608,0.396,0.348,0.616,0.884,0.424,0.436,0.4589041095890411,0.528,0.7,0.444,0.6179775280898876,0.796,0.244,0.16,0.136,0.364,0.492,0.303030303030303,0.315018315018315,0.3348214285714285,0.1433224755700325,0.08130081300813,0.0303030303030303,0.0214285714285714,0.0844155844155844,0.2176165803108808,0.037037037037037,0.516,0.3359375,0.472,0.8001909669601514,,,0.34,0.7185185185185186,0.8289473684210527,0.76,0.7849056603773585,0.8680555555555556,0.54,0.63,0.46,0.6994219653179191,0.4607843137254901,0.81,0.6808510638297872,0.6491228070175439,0.6896551724137931,0.4814814814814814,0.5634920634920635,0.51,0.8419354838709677,0.6354679802955665,0.72,0.8181818181818182,0.8636363636363636,0.9378238341968912,0.7051282051282052,0.3851851851851852,0.7857142857142857,0.4900662251655629,0.8807339449541285,0.6481481481481481,0.8480392156862745,0.890295358649789,0.7802690582959642,0.8091603053435115,0.8760330578512396,0.8333333333333334,0.7730061349693251,0.5357142857142857,0.883495145631068,0.9188034188034188,0.78,0.8748403575989783,0.7976878612716763,0.4011173184357542,0.8235294117647058,0.7845659163987139,0.8395061728395061,0.5177304964539007,0.5319426336375489,0.8125,0.7843137254901961,0.7,0.7877551020408163,0.8905472636815921,0.92,0.5120481927710844,0.8771929824561403,0.7187839332236227,0.6638225255972696,0.8645688109938259,0.8168902920284136,0.4680543300316138,0.576194086429113,0.3353658536585366,mixtral-8x-v0.1
